team_id,event_id,ranking
1,3,NULL
4,42,NULL
8,90,NULL
9,99,NULL
10,99,NULL
11,23,NULL
12,42,NULL
13,43,NULL
14,23,NULL
15,87,1
16,84,NULL
17,68,3
18,90,NULL
20,66,2
23,17,NULL
24,18,NULL
25,10,NULL
26,3,NULL
27,2,2
28,99,NULL
29,2,NULL
30,3,1
31,3,NULL
32,2,NULL
33,2,NULL
34,3,NULL
35,23,NULL
36,65,3
37,81,NULL
38,64,NULL
39,23,NULL
40,22,NULL
41,24,NULL
42,64,2
43,24,NULL
44,22,NULL
45,111,NULL
46,78,NULL
47,70,2
48,10,NULL
49,18,NULL
50,17,NULL
51,22,NULL
52,24,NULL
54,10,NULL
55,17,NULL
56,18,NULL
58,23,NULL
59,24,NULL
60,22,NULL
61,32,NULL
63,38,1
64,37,3
65,39,NULL
67,60,2
68,61,2
69,70,2
70,78,NULL
71,76,3
72,111,1
73,18,NULL
74,17,NULL
77,10,NULL
78,3,NULL
79,99,NULL
80,3,NULL
81,81,NULL
82,22,NULL
83,24,NULL
84,43,3
85,43,NULL
86,43,NULL
87,23,NULL
88,42,NULL
89,65,NULL
90,23,NULL
91,42,NULL
92,64,NULL
93,65,NULL
94,23,NULL
95,64,NULL
96,22,NULL
97,24,NULL
98,81,NULL
100,66,NULL
101,38,NULL
102,37,NULL
104,84,NULL
105,87,NULL
106,68,NULL
107,90,NULL
108,111,NULL
109,110,3
110,70,NULL
111,76,NULL
112,78,NULL
115,42,NULL
116,24,NULL
117,22,NULL
118,43,NULL
119,23,NULL
120,81,NULL
122,68,NULL
123,61,NULL
124,60,NULL
125,39,NULL
126,38,NULL
127,32,NULL
131,17,NULL
132,18,NULL
133,10,NULL
134,2,NULL
135,3,NULL
136,99,NULL
137,99,NULL
138,3,NULL
139,43,NULL
140,43,NULL
141,60,NULL
142,37,NULL
143,81,NULL
144,68,NULL
145,87,NULL
146,39,NULL
148,10,NULL
149,18,NULL
150,17,NULL
153,60,3
154,61,NULL
155,32,NULL
157,87,NULL
158,68,2
159,84,NULL
162,17,NULL
163,18,NULL
164,10,NULL
165,2,NULL
166,43,NULL
167,23,NULL
168,43,1
169,61,NULL
170,60,NULL
172,32,2
174,84,NULL
175,68,NULL
176,87,NULL
177,90,1
178,76,NULL
179,70,NULL
180,110,NULL
181,10,1
182,18,1
183,17,1
186,2,NULL
187,3,NULL
188,99,NULL
189,99,NULL
190,3,NULL
191,2,NULL
192,2,NULL
193,3,NULL
194,99,3
195,22,NULL
196,24,NULL
197,42,NULL
198,43,NULL
199,43,NULL
201,42,2
202,22,3
203,24,NULL
204,23,2
205,64,NULL
206,65,2
207,24,2
208,22,2
209,38,NULL
210,32,NULL
212,60,NULL
213,61,NULL
214,66,1
215,84,NULL
216,68,NULL
217,87,NULL
218,90,NULL
219,110,NULL
220,111,NULL
221,10,3
224,17,NULL
225,18,NULL
226,3,2
227,2,NULL
228,99,NULL
229,42,3
230,42,NULL
231,43,NULL
232,23,NULL
233,81,2
234,24,1
235,22,1
236,23,1
237,81,3
238,64,3
239,43,NULL
240,43,NULL
243,38,2
244,39,NULL
245,37,NULL
246,99,1
247,22,NULL
248,24,NULL
249,23,NULL
250,81,1
251,81,NULL
252,42,NULL
255,70,NULL
256,78,NULL
258,42,NULL
259,24,NULL
260,22,NULL
261,23,NULL
262,24,NULL
263,22,NULL
264,42,NULL
265,23,NULL
266,81,NULL
267,42,NULL
268,43,NULL
269,32,3
271,37,NULL
272,39,3
273,38,NULL
275,61,NULL
276,60,NULL
277,78,3
278,76,2
279,70,1
280,110,1
281,87,NULL
282,90,NULL
283,66,3
284,84,NULL
285,68,NULL
288,18,NULL
289,17,NULL
290,10,2
291,2,NULL
292,3,NULL
293,99,NULL
294,99,2
295,3,NULL
296,2,NULL
297,2,NULL
298,3,NULL
299,3,NULL
300,2,NULL
301,81,NULL
302,64,NULL
303,64,1
304,65,1
305,24,NULL
306,22,NULL
307,61,NULL
309,37,NULL
310,68,NULL
311,84,3
312,87,NULL
313,110,NULL
314,111,3
315,70,NULL
316,76,NULL
317,78,NULL
318,42,1
319,42,NULL
322,87,NULL
323,70,NULL
324,111,NULL
325,10,NULL
328,81,NULL
329,22,NULL
330,24,NULL
331,23,NULL
332,43,NULL
334,37,NULL
335,39,NULL
336,70,NULL
337,78,2
338,76,1
340,22,NULL
341,24,NULL
342,81,NULL
343,64,NULL
344,24,NULL
345,24,NULL
346,22,NULL
347,60,NULL
349,66,NULL
350,10,NULL
353,17,NULL
354,18,NULL
355,65,NULL
356,64,NULL
357,24,NULL
358,22,NULL
359,10,NULL
360,18,NULL
361,17,NULL
364,43,NULL
365,42,NULL
366,111,2
367,110,NULL
368,70,NULL
369,78,1
370,76,NULL
371,24,NULL
372,22,NULL
373,3,NULL
374,10,NULL
376,32,1
377,17,2
378,18,3
379,110,NULL
380,87,3
381,90,NULL
382,84,2
383,68,1
386,39,NULL
387,38,NULL
388,2,NULL
389,2,NULL
390,64,NULL
391,42,NULL
392,65,NULL
394,66,NULL
395,68,NULL
396,84,NULL
397,70,NULL
398,90,NULL
399,87,2
402,10,NULL
405,18,NULL
406,17,NULL
407,23,NULL
408,64,NULL
409,17,NULL
410,66,NULL
411,84,NULL
412,87,NULL
414,65,NULL
415,24,NULL
416,22,NULL
417,64,NULL
418,23,NULL
419,65,NULL
420,90,NULL
422,60,NULL
423,18,NULL
424,10,NULL
425,3,NULL
426,3,NULL
427,10,NULL
428,17,NULL
429,18,NULL
433,87,NULL
434,84,1
435,68,NULL
436,43,NULL
438,90,3
439,43,NULL
440,43,NULL
441,17,3
442,10,NULL
443,18,2
445,32,NULL
446,61,NULL
447,60,NULL
450,39,1
451,37,1
452,38,NULL
453,23,NULL
454,24,NULL
455,22,NULL
456,23,NULL
457,24,NULL
458,22,NULL
459,38,3
460,37,2
461,39,NULL
462,32,NULL
464,60,NULL
465,61,NULL
466,87,NULL
467,90,2
470,18,NULL
471,17,NULL
472,10,NULL
473,3,NULL
474,2,1
475,99,NULL
476,2,2
477,3,NULL
478,3,NULL
479,2,NULL
480,2,NULL
481,3,NULL
482,24,3
483,22,NULL
484,23,NULL
485,22,NULL
486,24,NULL
487,87,NULL
488,64,NULL
489,64,NULL
490,65,NULL
492,87,NULL
493,68,NULL
494,66,NULL
495,17,NULL
496,18,NULL
497,10,NULL
500,23,3
501,43,NULL
502,42,NULL
503,43,2
504,81,NULL
505,22,NULL
506,24,NULL
507,64,NULL
508,65,NULL
509,24,NULL
510,42,NULL
511,23,NULL
512,23,NULL
513,64,NULL
514,81,NULL
517,10,NULL
518,18,NULL
519,17,NULL
520,2,NULL
521,66,NULL
522,68,NULL
523,84,NULL
524,87,NULL
525,90,NULL
526,76,NULL
527,70,NULL
528,110,2
529,111,NULL
532,39,2
533,37,NULL
534,38,NULL
536,61,1
537,60,1
538,99,NULL
539,3,NULL
540,3,3
541,99,NULL
542,3,NULL
543,3,NULL
544,43,NULL
554,32,NULL
555,31,NULL
556,31,NULL
557,31,NULL
558,31,NULL
559,31,NULL
560,31,3
561,31,NULL
562,31,NULL
563,31,NULL
564,31,NULL
565,31,NULL
566,31,1
567,31,NULL
568,31,NULL
569,31,NULL
570,31,2
571,31,NULL
572,31,NULL
573,31,NULL
574,33,NULL
575,33,NULL
576,33,NULL
577,33,NULL
578,33,NULL
579,33,NULL
580,33,NULL
581,33,NULL
582,33,NULL
583,33,NULL
584,33,3
585,33,NULL
586,33,NULL
587,33,NULL
588,33,NULL
589,33,NULL
590,33,NULL
591,33,NULL
592,33,NULL
593,33,NULL
594,33,NULL
595,33,NULL
596,33,1
597,33,2
598,33,NULL
599,33,NULL
600,34,NULL
601,34,NULL
602,34,NULL
603,34,NULL
604,34,NULL
605,34,NULL
606,34,NULL
607,34,NULL
608,34,NULL
609,34,NULL
610,34,NULL
611,34,NULL
612,34,3
613,34,NULL
614,34,NULL
615,34,NULL
616,34,1
617,34,NULL
618,34,NULL
619,34,NULL
620,34,NULL
621,34,NULL
622,34,NULL
623,34,NULL
624,34,NULL
625,34,NULL
626,34,2
627,34,NULL
628,34,NULL
629,34,NULL
630,34,NULL
631,34,NULL
632,34,NULL
633,34,NULL
627,58,NULL
628,58,NULL
629,58,NULL
630,58,3
631,58,2
632,58,NULL
633,58,1
308,44,3
